timestamp,name,cpu,mem_usage,mem_perc,net_io,block_io,pids
2026-02-13T17:19:18+01:00,api_gateway,0.52%,67.43MiB / 7.751GiB,0.85%,21.5MB / 17.9MB,27.1MB / 0B,3
2026-02-13T17:19:25+01:00,api_gateway,0.55%,67.43MiB / 7.751GiB,0.85%,21.5MB / 17.9MB,27.1MB / 0B,3
2026-02-13T17:19:32+01:00,api_gateway,0.98%,67.43MiB / 7.751GiB,0.85%,21.6MB / 17.9MB,27.1MB / 0B,3
2026-02-13T17:19:39+01:00,api_gateway,0.76%,67.43MiB / 7.751GiB,0.85%,21.6MB / 17.9MB,27.1MB / 0B,3
2026-02-13T17:19:45+01:00,api_gateway,0.54%,67.43MiB / 7.751GiB,0.85%,21.6MB / 17.9MB,27.1MB / 0B,3
2026-02-13T17:19:52+01:00,api_gateway,1.03%,67.43MiB / 7.751GiB,0.85%,21.6MB / 18MB,27.1MB / 0B,3
2026-02-13T17:19:58+01:00,api_gateway,0.51%,67.43MiB / 7.751GiB,0.85%,21.6MB / 18MB,27.1MB / 0B,3
2026-02-13T17:20:05+01:00,api_gateway,0.54%,67.43MiB / 7.751GiB,0.85%,21.6MB / 18MB,27.1MB / 0B,3
2026-02-13T17:20:11+01:00,api_gateway,0.67%,67.43MiB / 7.751GiB,0.85%,21.7MB / 18MB,27.1MB / 0B,3
2026-02-13T17:20:18+01:00,api_gateway,0.51%,67.43MiB / 7.751GiB,0.85%,21.7MB / 18MB,27.1MB / 0B,3
2026-02-13T17:20:24+01:00,api_gateway,0.56%,67.43MiB / 7.751GiB,0.85%,21.7MB / 18.1MB,27.1MB / 0B,3
2026-02-13T17:20:31+01:00,api_gateway,1.05%,67.44MiB / 7.751GiB,0.85%,21.7MB / 18.1MB,27.1MB / 0B,3
