api_gateway  | 2026-02-13T15:21:54.798256982Z {"ts": "2026-02-13T15:21:54.798Z", "level": "INFO", "logger": "app.routers.proxy_http", "msg": "GET /api/v1/color_camera/relay/pong -> http://192.168.1.10:8900/relay/pong 200", "request_id": "2cc3919f-2e62-499e-8a53-c4d318693d7b", "method": "GET", "url": "http://192.168.1.10:8900/relay/pong", "status": 200}
api_gateway  | 2026-02-13T15:21:55.807195559Z {"ts": "2026-02-13T15:21:55.807Z", "level": "INFO", "logger": "app.routers.proxy_http", "msg": "GET /api/v1/igus/status -> http://192.168.1.10:8101/status 200", "request_id": "8eb43d2b-6f6d-4120-9524-e9c98eb2ce06", "method": "GET", "url": "http://192.168.1.10:8101/status", "status": 200}
api_gateway  | 2026-02-13T15:21:56.800396577Z {"ts": "2026-02-13T15:21:56.800Z", "level": "INFO", "logger": "app.routers.proxy_http", "msg": "GET /api/v1/color_camera/relay/pong -> http://192.168.1.10:8900/relay/pong 200", "request_id": "7be19444-3e86-4d42-8674-cc587b5f01b1", "method": "GET", "url": "http://192.168.1.10:8900/relay/pong", "status": 200}
api_gateway  | 2026-02-13T15:21:57.831237735Z {"ts": "2026-02-13T15:21:57.831Z", "level": "INFO", "logger": "app.routers.proxy_http", "msg": "GET /api/v1/igus/status -> http://192.168.1.10:8101/status 200", "request_id": "91deec66-0b84-4dea-81d0-d2d468daa42b", "method": "GET", "url": "http://192.168.1.10:8101/status", "status": 200}
api_gateway  | 2026-02-13T15:21:58.796351496Z {"ts": "2026-02-13T15:21:58.796Z", "level": "INFO", "logger": "app.routers.proxy_http", "msg": "GET /api/v1/color_camera/relay/pong -> http://192.168.1.10:8900/relay/pong 200", "request_id": "8de4de62-115b-43b1-bdcc-b2e6907ff117", "method": "GET", "url": "http://192.168.1.10:8900/relay/pong", "status": 200}
api_gateway  | 2026-02-13T15:21:59.229563894Z {"ts": "2026-02-13T15:21:59.229Z", "level": "INFO", "logger": "app.routers.proxy_http", "msg": "GET /api/v1/robot/status -> http://192.168.1.10:8110/status 200", "request_id": "0b86abaa-1596-4f16-8f11-5e41cc7c9a26", "method": "GET", "url": "http://192.168.1.10:8110/status", "status": 200}
api_gateway  | 2026-02-13T15:21:59.812109911Z {"ts": "2026-02-13T15:21:59.811Z", "level": "INFO", "logger": "app.routers.proxy_http", "msg": "GET /api/v1/igus/status -> http://192.168.1.10:8101/status 200", "request_id": "a9ff26f2-6945-4834-b03d-868bc594ac5c", "method": "GET", "url": "http://192.168.1.10:8101/status", "status": 200}
api_gateway  | 2026-02-13T15:22:00.811125484Z {"ts": "2026-02-13T15:22:00.810Z", "level": "INFO", "logger": "app.routers.proxy_http", "msg": "GET /api/v1/color_camera/relay/pong -> http://192.168.1.10:8900/relay/pong 200", "request_id": "cda48ccb-0993-4c69-a271-76228e6d4050", "method": "GET", "url": "http://192.168.1.10:8900/relay/pong", "status": 200}
api_gateway  | 2026-02-13T15:22:01.841390878Z {"ts": "2026-02-13T15:22:01.841Z", "level": "INFO", "logger": "app.routers.proxy_http", "msg": "GET /api/v1/color_camera/relay/time -> http://192.168.1.10:8900/relay/time 200", "request_id": "384cc8e1-cd87-4ddd-8c48-fa87037062bb", "method": "GET", "url": "http://192.168.1.10:8900/relay/time", "status": 200}
api_gateway  | 2026-02-13T15:22:01.843479330Z {"ts": "2026-02-13T15:22:01.843Z", "level": "INFO", "logger": "app.routers.proxy_http", "msg": "GET /api/v1/igus/status -> http://192.168.1.10:8101/status 200", "request_id": "46933c50-a1ad-48da-8152-1360c08af2e2", "method": "GET", "url": "http://192.168.1.10:8101/status", "status": 200}
