timestamp,name,cpu,mem_usage,mem_perc,net_io,block_io,pids
2026-02-15T03:09:22+01:00,api_gateway,0.15%,69.22MiB / 7.751GiB,0.87%,425MB / 188MB,20.9MB / 0B,4
2026-02-15T03:09:29+01:00,api_gateway,0.13%,69.2MiB / 7.751GiB,0.87%,425MB / 188MB,20.9MB / 0B,4
2026-02-15T03:09:36+01:00,api_gateway,5.22%,69.22MiB / 7.751GiB,0.87%,425MB / 188MB,20.9MB / 0B,4
2026-02-15T03:09:43+01:00,api_gateway,0.14%,69.24MiB / 7.751GiB,0.87%,425MB / 188MB,20.9MB / 0B,4
2026-02-15T03:09:49+01:00,api_gateway,0.13%,69.2MiB / 7.751GiB,0.87%,425MB / 188MB,20.9MB / 0B,4
2026-02-15T03:09:56+01:00,api_gateway,0.12%,69.2MiB / 7.751GiB,0.87%,425MB / 188MB,20.9MB / 0B,4
2026-02-15T03:10:02+01:00,api_gateway,0.15%,69.2MiB / 7.751GiB,0.87%,425MB / 188MB,20.9MB / 0B,4
2026-02-15T03:10:09+01:00,api_gateway,0.52%,69.22MiB / 7.751GiB,0.87%,425MB / 188MB,20.9MB / 0B,4
2026-02-15T03:10:15+01:00,api_gateway,0.13%,69.2MiB / 7.751GiB,0.87%,425MB / 188MB,20.9MB / 0B,4
2026-02-15T03:10:22+01:00,api_gateway,0.15%,69.2MiB / 7.751GiB,0.87%,425MB / 188MB,20.9MB / 0B,4
2026-02-15T03:10:28+01:00,api_gateway,0.55%,69.21MiB / 7.751GiB,0.87%,425MB / 188MB,20.9MB / 0B,4
2026-02-15T03:10:35+01:00,api_gateway,0.14%,69.2MiB / 7.751GiB,0.87%,425MB / 188MB,20.9MB / 0B,4
2026-02-15T03:10:41+01:00,api_gateway,0.16%,69.24MiB / 7.751GiB,0.87%,425MB / 188MB,20.9MB / 0B,4
2026-02-15T03:10:48+01:00,api_gateway,0.13%,69.2MiB / 7.751GiB,0.87%,425MB / 188MB,20.9MB / 0B,4
2026-02-15T03:10:54+01:00,api_gateway,0.14%,69.2MiB / 7.751GiB,0.87%,425MB / 188MB,20.9MB / 0B,4
2026-02-15T03:11:01+01:00,api_gateway,0.13%,69.2MiB / 7.751GiB,0.87%,425MB / 188MB,20.9MB / 0B,4
2026-02-15T03:11:08+01:00,api_gateway,0.13%,69.22MiB / 7.751GiB,0.87%,425MB / 188MB,20.9MB / 0B,4
2026-02-15T03:11:14+01:00,api_gateway,0.13%,69.2MiB / 7.751GiB,0.87%,425MB / 188MB,20.9MB / 0B,4
